source_collection	contrast_id	context	disease	accession	case_label	control_label	n_case	n_control	n_features_tested	strict_count	suggestive_count	exploratory_count	tiered_count	fdr_lt_0.05	fdr_lt_0.10	nominal_p_lt_0.05_abs_log2fc_ge_1	top_feature	top_gene	top_log2FC	top_p_value	top_FDR	method	caveat_flags	ontology_domain	ontology_parent	ontology_detail	domain_rank	context_rank	human_disease_scope	display_contrast	compact_label	ontology_cluster_order	cohort_number
kidney_diabetes_moderated_20260709	PXD016571_urine_Bad_vs_Good	conditional_urine_dkd_prognosis	T2D renal dysfunction/prognosis Bad vs Good	PXD016571	Bad	Good	19	45	1116	0	6	92	98	0	6	98	P19961	AMY2B	-3.0346942116406126	8.554166648843284e-05	0.0688227770949512	limma_like_empirical_bayes_moderated_t_20260709		Kidney/urinary	diabetic kidney disease / renal prognosis	Urine T2D renal dysfunction/prognosis contrast	3	1	human	PXD016571 | Bad vs Good	PXD016571\nBad>Good	17	C17
kidney_diabetes_moderated_20260709	PXD054937_tissue_PTDM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue post-transplant diabetes vs normoglycemic	PXD054937	PTDM	NG	6	5	4388	0	0	2	2	0	0	2	P13646-1	KRT13	-1.6645718251110484	0.0491912526697702	0.9975566789175536	limma_like_empirical_bayes_moderated_t_20260709		Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	3	5	human	PXD054937 | PTDM vs NG	PXD054937\nPTDM>NG	18	C18
kidney_diabetes_moderated_20260709	PXD054937_tissue_T2DM_vs_NG	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs normoglycemic	PXD054937	T2DM	NG	6	5	4388	0	0	0	0	0	0	0	Q92764	KRT35	1.4915772845262705	0.092426801393037	0.9998835168238576	limma_like_empirical_bayes_moderated_t_20260709		Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	3	5	human	PXD054937 | T2DM vs NG	PXD054937\nT2DM>NG	19	C19
kidney_diabetes_moderated_20260709	PXD054937_tissue_T2DM_vs_PTDM	tissue_context_proximal_tubule	proximal tubule tissue pre-existing type 2 diabetes vs post-transplant diabetes	PXD054937	T2DM	PTDM	6	6	4388	0	0	2	2	0	0	2	Q9BV20	MRI1	1.4060647914390003	0.0567555756948707	0.9089520388310324	limma_like_empirical_bayes_moderated_t_20260709		Kidney/urinary	proximal tubule tissue context	Human FFPE proximal tubule diabetes-related tissue context	3	5	human	PXD054937 | T2DM vs PTDM	PXD054937\nT2DM>PTDM	20	C20
kidney_diabetes_moderated_20260709	PXD044264_plasma_AKI_subphenotype_2_vs_1	conditional_plasma_aki_subphenotype	AKI plasma subphenotype 2 vs 1	PXD044264	AKI_subphenotype_2	AKI_subphenotype_1	42	14	407	111	80	0	191	205	232	115	P59665	DEFA1	2.0780535934069384	5.052643416912823e-19	2.056425870683519e-16	limma_like_empirical_bayes_moderated_t_20260709		Kidney/urinary	acute kidney injury	AKI plasma subphenotype 2 versus subphenotype 1	3	4	human	PXD044264 | AKI_subphenotype_2 vs AKI_subphenotype_1	PXD044264\nAKI_subphe>AKI_subphe	21	C21
all_primary_t7_limma	primary__curated_gate2_case_control__kidney_dysfunction__PXD046550__case_vs_control	kidney_dysfunction	Kidney dysfunction	PXD046550	case	control	56	18	406	62	87	0	149	212	233	62	PROCR	PROCR	2.1546401091805	1.8602184112213701e-25	7.55248674955875e-23	limma_trend_robust_row_median_imputed_after_strict_filter	longitudinal_or_technical_replicate_caveat	Kidney/urinary	renal dysfunction	Kidney dysfunction case-control proteomics	3	2	human	PXD046550 | case vs control	PXD046550\ncase>control	22	C22
all_primary_t7_limma	primary__curated_gate2_case_control__liver_dysfunction__PXD011839__case_vs_control	liver_dysfunction	Liver dysfunction	PXD011839	case	control	48	24	417	4	2	2	8	6	6	6	P02768	ALB	-1.78576731001959	1.03375783955322e-05	0.0043107701909369	limma_trend_robust_row_median_imputed_after_strict_filter		Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	4	1	human	PXD011839 | case vs control	PXD011839\ncase>control	23	C23
all_primary_t7_limma	primary__curated_gate2_case_control__liver_dysfunction__GSE251855__case_vs_control	liver_dysfunction	Liver dysfunction	GSE251855	case	control	37	20	1278	4	12	0	16	64	94	4	P35442	THBS2	1.40205838497123	1.94406454030706e-08	2.48451448251242e-05	limma_trend_robust_row_median_imputed_after_strict_filter		Hepatic	liver disease / hepatic dysfunction	Liver dysfunction case-control proteomics	4	1	human	GSE251855 | case vs control	GSE251855\ncase>control	24	C24
all_primary_t7_limma	primary__curated_gate2_case_control__cardiac_disease__PXD009356__case_vs_control	cardiac_disease	Cardiac disease	PXD009356	case	control	13	14	542	0	1	10	11	0	1	11	P07900	HSP90AA1	-1.2675938490713	0.0001652198195704	0.0895491422071819	limma_trend_robust_row_median_imputed_after_strict_filter		Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	5	1	human	PXD009356 | case vs control	PXD009356\ncase>control	25	C25
all_primary_t7_limma	primary__curated_gate2_case_control__cardiac_disease__GSE95368__case_vs_control	cardiac_disease	Cardiac disease	GSE95368	case	control	27	6	1310	42	58	6	106	89	146	55	SL007100	SL007100	-3.80157150781229	1.4532930085496101e-23	1.90381384119999e-20	limma_trend_robust_row_median_imputed_after_strict_filter		Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	5	1	human	GSE95368 | case vs control	GSE95368\ncase>control	26	C26
all_primary_t7_limma	primary__curated_gate2_case_control__cardiac_disease__PXD029375__case_vs_control	cardiac_disease	MIS-C / cardiac involvement	PXD029375	case	control	34	25	1425	511	407	0	918	1008	1085	512	BMP4	BMP4	-2.50389023529412	1.62681568241722e-24	2.31821234744454e-21	limma_trend_robust_row_median_imputed_after_strict_filter		Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	5	1	human	PXD029375 | case vs control	PXD029375\ncase>control	27	C27
all_primary_t7_limma	primary__curated_gate2_case_control__cardiac_disease__GSE181091__case_vs_control	cardiac_disease	Cardiac disease	GSE181091	case	control	8	4	1112	5	103	30	138	5	109	81	P21741	MDK	4.3673584978125	5.04487073978684e-06	0.0056098962626429	limma_trend_robust_row_median_imputed_after_strict_filter		Cardiovascular/inflammatory	cardiovascular disease / inflammatory cardiac involvement	Cardiac disease and MIS-C cardiac involvement	5	1	human	GSE181091 | case vs control	GSE181091\ncase>control	28	C28
