marker	role_label	category	term	description	fdr	is_member	role_code
ACTG1	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
VWF	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
DNAH9	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	False	R5
GPX3	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
C4B	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
CD44	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
CFHR2	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	False	R5
ITIH3	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	False	R5
LRG1	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	True	R5
MYH7B	COMPARTMENTS: Extracellular space (FDR 0.001)	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	False	R5
ACTG1	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	True	R6
VWF	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	True	R6
DNAH9	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	False	R6
GPX3	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	True	R6
C4B	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	True	R6
CD44	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	True	R6
CFHR2	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	False	R6
ITIH3	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	True	R6
LRG1	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	True	R6
MYH7B	COMPARTMENTS: Vesicle (FDR 0.005)	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	False	R6
ACTG1	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	True	R7
VWF	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	False	R7
DNAH9	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	False	R7
GPX3	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	True	R7
C4B	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	False	R7
CD44	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	False	R7
CFHR2	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	False	R7
ITIH3	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	False	R7
LRG1	COMPARTMENTS: Presynaptic cytoskeleton (FDR 0.005)	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	False	R7
