contrast_id	cohort_number	disease	accession	ontology_domain	role_code	category	term	description	fdr	role_marker_count	detected_marker_count	dep_marker_count	proximity_score
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R2	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	6	5	1	1.7
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R3	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	8	7	2	2.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R4	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	5	4	1	1.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R5	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	6	5	1	1.7
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R6	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	7	6	2	2.7
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R7	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	2	1	0	0.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R8	Component	GO:0005576	Extracellular region	0.0144	9	7	2	2.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R9	Component	GO:0005615	Extracellular space	0.0144	8	7	2	2.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R10	Component	GO:0070062	Extracellular exosome	0.0144	7	6	2	2.7
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R11	KEGG	hsa04610	Complement and coagulation cascades	0.0031	3	3	0	-0.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	Nervous system	R12	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	4	4	1	0.65
