contrast_id	cohort_number	disease	accession	ontology_domain	role_code	category	term	description	fdr	role_marker_count	detected_marker_count	dep_marker_count	proximity_score
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R14	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	3	2	0	0.0
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R15	TISSUES	BTO:0000392	Plasma cell	0.0029	4	3	0	0.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R16	TISSUES	BTO:0000345	Digestive gland	0.0058	8	5	0	0.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R17	TISSUES	BTO:0000759	Liver	0.0093	7	4	0	0.0
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R18	TISSUES	BTO:0000763	Lung	0.0101	6	3	0	0.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R19	TISSUES	BTO:0001491	Viscus	0.0258	9	5	0	0.35
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R1	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	6	5	0	0.35
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R2	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	6	5	0	0.35
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R3	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	8	7	0	-0.35
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R4	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	5	4	0	0.7
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R5	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	6	5	0	0.35
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R6	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	7	6	0	0.0
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R7	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	2	1	0	0.35
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R8	Component	GO:0005576	Extracellular region	0.0144	9	7	0	-0.35
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R9	Component	GO:0005615	Extracellular space	0.0144	8	7	0	-0.35
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R10	Component	GO:0070062	Extracellular exosome	0.0144	7	6	0	0.0
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R11	KEGG	hsa04610	Complement and coagulation cascades	0.0031	3	3	0	-0.35
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R12	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	4	4	0	-0.7
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R13	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	3	3	0	-0.35
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R14	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	3	3	0	-0.35
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R15	TISSUES	BTO:0000392	Plasma cell	0.0029	4	4	0	0.0
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R16	TISSUES	BTO:0000345	Digestive gland	0.0058	8	7	0	-0.35
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R17	TISSUES	BTO:0000759	Liver	0.0093	7	6	0	-0.6999999999999998
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R18	TISSUES	BTO:0000763	Lung	0.0101	6	4	0	0.0
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	Metabolic/endocrine	R19	TISSUES	BTO:0001491	Viscus	0.0258	9	7	0	-0.35
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R1	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	6	5	0	0.34999999999999987
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R2	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	6	5	0	0.34999999999999987
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R3	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	8	7	0	-0.3500000000000001
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R4	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	5	4	0	0.0
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R5	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	6	5	0	0.34999999999999987
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R6	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	7	6	0	-1.1102230246251565e-16
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R7	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	2	1	0	0.35
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R8	Component	GO:0005576	Extracellular region	0.0144	9	7	0	-0.3500000000000001
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R9	Component	GO:0005615	Extracellular space	0.0144	8	7	0	-0.3500000000000001
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R10	Component	GO:0070062	Extracellular exosome	0.0144	7	6	0	-1.1102230246251565e-16
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R11	KEGG	hsa04610	Complement and coagulation cascades	0.0031	3	3	0	0.35
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R12	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	4	4	0	0.0
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R13	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	3	3	0	-0.35
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R14	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	3	3	0	-0.35
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R15	TISSUES	BTO:0000392	Plasma cell	0.0029	4	4	0	0.0
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R16	TISSUES	BTO:0000345	Digestive gland	0.0058	8	7	0	-0.3500000000000001
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R17	TISSUES	BTO:0000759	Liver	0.0093	7	6	0	-0.7
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R18	TISSUES	BTO:0000763	Lung	0.0101	6	4	0	0.6999999999999998
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R19	TISSUES	BTO:0001491	Viscus	0.0258	9	7	0	-0.3500000000000001
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R1	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	6	2	0	0.7
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R2	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	6	2	0	0.7
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R3	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	8	4	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R4	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	5	2	0	0.7
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R5	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	6	2	0	0.7
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R6	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	7	3	0	0.35
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R7	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	2	1	0	0.35
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R8	Component	GO:0005576	Extracellular region	0.0144	9	4	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R9	Component	GO:0005615	Extracellular space	0.0144	8	4	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R10	Component	GO:0070062	Extracellular exosome	0.0144	7	3	0	0.35
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R11	KEGG	hsa04610	Complement and coagulation cascades	0.0031	3	2	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R12	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	4	3	0	-0.35
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R13	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	3	1	0	-0.35
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R14	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	3	1	0	-0.35
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R15	TISSUES	BTO:0000392	Plasma cell	0.0029	4	1	0	0.35
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R16	TISSUES	BTO:0000345	Digestive gland	0.0058	8	4	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R17	TISSUES	BTO:0000759	Liver	0.0093	7	3	0	-0.35
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R18	TISSUES	BTO:0000763	Lung	0.0101	6	2	0	0.7
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	Metabolic/endocrine	R19	TISSUES	BTO:0001491	Viscus	0.0258	9	4	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R1	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	6	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R2	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	6	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R3	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	8	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R4	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	5	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R5	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	6	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R6	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	7	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R7	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	2	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R8	Component	GO:0005576	Extracellular region	0.0144	9	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R9	Component	GO:0005615	Extracellular space	0.0144	8	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R10	Component	GO:0070062	Extracellular exosome	0.0144	7	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R11	KEGG	hsa04610	Complement and coagulation cascades	0.0031	3	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R12	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	4	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R13	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	3	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R14	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	3	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R15	TISSUES	BTO:0000392	Plasma cell	0.0029	4	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R16	TISSUES	BTO:0000345	Digestive gland	0.0058	8	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R17	TISSUES	BTO:0000759	Liver	0.0093	7	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R18	TISSUES	BTO:0000763	Lung	0.0101	6	0	0	0.0
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	Metabolic/endocrine	R19	TISSUES	BTO:0001491	Viscus	0.0258	9	0	0	0.0
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R1	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	6	5	0	1.4499999999999997
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R2	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	6	5	0	1.4499999999999997
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R3	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	8	7	0	1.4499999999999997
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R4	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	5	4	0	1.1
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R5	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	6	5	0	1.4499999999999997
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R6	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	7	6	0	1.7999999999999998
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R7	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	2	1	0	0.35
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R8	Component	GO:0005576	Extracellular region	0.0144	9	7	0	1.4499999999999997
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R9	Component	GO:0005615	Extracellular space	0.0144	8	7	0	1.4499999999999997
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R10	Component	GO:0070062	Extracellular exosome	0.0144	7	6	0	1.7999999999999998
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R11	KEGG	hsa04610	Complement and coagulation cascades	0.0031	3	3	0	0.35
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R12	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	4	4	0	0.7
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R13	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	3	3	0	0.35
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R14	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	3	3	0	0.35
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R15	TISSUES	BTO:0000392	Plasma cell	0.0029	4	4	0	1.1
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R16	TISSUES	BTO:0000345	Digestive gland	0.0058	8	7	0	1.4499999999999997
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R17	TISSUES	BTO:0000759	Liver	0.0093	7	6	0	1.1
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R18	TISSUES	BTO:0000763	Lung	0.0101	6	4	0	1.7999999999999998
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	Metabolic/endocrine	R19	TISSUES	BTO:0001491	Viscus	0.0258	9	7	0	1.4499999999999997
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R1	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	6	6	3	-3.35
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R2	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	6	6	3	-3.35
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R3	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	8	8	4	-2.7
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R4	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	5	5	2	-2.35
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R5	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	6	6	3	-3.35
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R6	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	7	7	3	-3.7
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R7	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	2	2	0	0.0
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R8	Component	GO:0005576	Extracellular region	0.0144	9	8	4	-2.7
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R9	Component	GO:0005615	Extracellular space	0.0144	8	8	4	-2.7
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R10	Component	GO:0070062	Extracellular exosome	0.0144	7	7	3	-3.7
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R11	KEGG	hsa04610	Complement and coagulation cascades	0.0031	3	3	3	-1.0
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R12	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	4	4	3	-1.35
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R13	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	3	3	1	-1.7000000000000002
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R14	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	3	3	1	-1.7000000000000002
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R15	TISSUES	BTO:0000392	Plasma cell	0.0029	4	4	3	-3.35
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	Kidney/urinary	R16	TISSUES	BTO:0000345	Digestive gland	0.0058	8	8	4	-2.7
