marker	reference_log2FC	reference_direction	contrast_id	context	disease	accession	case_label	control_label	n_case	n_control	ontology_domain	ontology_parent	ontology_detail	human_disease_scope	detected	display_gene	feature_id	uniprot_id	protein_name	log2FC	p_value	FDR	abs_log2FC	tier	cohort_direction	direction_agreement	concordance_status
GPX3	-2.8299999999999983	down_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	metabolic_dysfunction	Diabetes mellitus	PXD054961	case	control	16	8	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	True	GPX3	P22352	P22352	Glutathione peroxidase 3	-0.517384496026514	0.192042978267079	0.669387561603844	0.517384496026514	not_tiered	down_in_case	same_direction	weak_same_direction
C4B	-4.150000000000002	down_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	metabolic_dysfunction	Diabetes mellitus	PXD054961	case	control	16	8	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
CD44	1.5799999999999983	up_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	metabolic_dysfunction	Diabetes mellitus	PXD054961	case	control	16	8	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
CFHR2	1.4699999999999989	up_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	metabolic_dysfunction	Diabetes mellitus	PXD054961	case	control	16	8	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	True	CFHR2	P36980	P36980	Complement factor H-related protein 2	-0.249559960921946	0.369724473293495	0.785250438049262	0.249559960921946	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
ITIH3	-1.2100000000000009	down_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	metabolic_dysfunction	Diabetes mellitus	PXD054961	case	control	16	8	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	True	ITIH3	Q06033	Q06033	Inter-alpha-trypsin inhibitor heavy chain H3	0.111507698282297	0.696722125288009	0.889480203129541	0.111507698282297	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
LRG1	-1.7199999999999989	down_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	metabolic_dysfunction	Diabetes mellitus	PXD054961	case	control	16	8	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
MYH7B	-5.32	down_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	metabolic_dysfunction	Diabetes mellitus	PXD054961	case	control	16	8	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	metabolic_dysfunction	Metabolic dysfunction	PAD000040	case	control	47	69	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	metabolic_dysfunction	Metabolic dysfunction	PAD000040	case	control	47	69	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
DNAH9	5.84	up_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	metabolic_dysfunction	Metabolic dysfunction	PAD000040	case	control	47	69	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	metabolic_dysfunction	Metabolic dysfunction	PAD000040	case	control	47	69	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
C4B	-4.150000000000002	down_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	metabolic_dysfunction	Metabolic dysfunction	PAD000040	case	control	47	69	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
CD44	1.5799999999999983	up_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	metabolic_dysfunction	Metabolic dysfunction	PAD000040	case	control	47	69	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
CFHR2	1.4699999999999989	up_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	metabolic_dysfunction	Metabolic dysfunction	PAD000040	case	control	47	69	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ITIH3	-1.2100000000000009	down_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	metabolic_dysfunction	Metabolic dysfunction	PAD000040	case	control	47	69	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
LRG1	-1.7199999999999989	down_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	metabolic_dysfunction	Metabolic dysfunction	PAD000040	case	control	47	69	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
MYH7B	-5.32	down_in_chronic	primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	metabolic_dysfunction	Metabolic dysfunction	PAD000040	case	control	47	69	Metabolic/endocrine	metabolic disease / diabetes mellitus	Metabolic dysfunction including diabetes mellitus	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	PXD054961_serum_PTDM_vs_NG	primary_serum_diabetes	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	PTDM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	PXD054961_serum_PTDM_vs_NG	primary_serum_diabetes	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	PTDM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	VWF	P04275	P04275	von Willebrand factor	0.0814042964125469	0.8790155819183423	0.9624031687238376	0.0814042964125469	not_tiered	up_in_case	same_direction	weak_same_direction
DNAH9	5.84	up_in_chronic	PXD054961_serum_PTDM_vs_NG	primary_serum_diabetes	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	PTDM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	PXD054961_serum_PTDM_vs_NG	primary_serum_diabetes	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	PTDM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	GPX3	P22352	P22352	Glutathione peroxidase 3	-0.3394031615645261	0.4683280061886276	0.8808756291986023	0.3394031615645261	not_tiered	down_in_case	same_direction	weak_same_direction
C4B	-4.150000000000002	down_in_chronic	PXD054961_serum_PTDM_vs_NG	primary_serum_diabetes	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	PTDM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	C4B	P0C0L5	P0C0L5	Complement C4-B	-0.6464491330061044	0.136905506134443	0.6695164474870154	0.6464491330061044	not_tiered	down_in_case	same_direction	weak_same_direction
CD44	1.5799999999999983	up_in_chronic	PXD054961_serum_PTDM_vs_NG	primary_serum_diabetes	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	PTDM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	CD44	P16070	P16070	CD44 antigen	2.067778730728346	0.0437582381583225	0.5485901265400319	2.067778730728346	exploratory	up_in_case	same_direction	concordant_exploratory
CFHR2	1.4699999999999989	up_in_chronic	PXD054961_serum_PTDM_vs_NG	primary_serum_diabetes	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	PTDM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	CFHR2	P36980	P36980	Complement factor H-related protein 2	-0.2125942970238341	0.5424365564291215	0.8967446329930645	0.2125942970238341	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
ITIH3	-1.2100000000000009	down_in_chronic	PXD054961_serum_PTDM_vs_NG	primary_serum_diabetes	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	PTDM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	ITIH3	Q06033	Q06033	Inter-alpha-trypsin inhibitor heavy chain H3	-0.2482725426940941	0.4295284864716366	0.8751669338550908	0.2482725426940941	not_tiered	down_in_case	same_direction	weak_same_direction
LRG1	-1.7199999999999989	down_in_chronic	PXD054961_serum_PTDM_vs_NG	primary_serum_diabetes	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	PTDM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	LRG1	P02750	P02750	Leucine-rich alpha-2-glycoprotein	0.6112013105050078	0.1996877903636799	0.6961491476214476	0.6112013105050078	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
MYH7B	-5.32	down_in_chronic	PXD054961_serum_PTDM_vs_NG	primary_serum_diabetes	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	PTDM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	PXD054961_serum_T2DM_vs_NG	primary_serum_diabetes	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	T2DM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	PXD054961_serum_T2DM_vs_NG	primary_serum_diabetes	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	T2DM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	VWF	P04275	P04275	von Willebrand factor	0.6059801663032793	0.1498390983483301	0.6458581825359055	0.6059801663032793	not_tiered	up_in_case	same_direction	weak_same_direction
DNAH9	5.84	up_in_chronic	PXD054961_serum_T2DM_vs_NG	primary_serum_diabetes	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	T2DM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	PXD054961_serum_T2DM_vs_NG	primary_serum_diabetes	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	T2DM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	GPX3	P22352	P22352	Glutathione peroxidase 3	-0.9028743304335548	0.0298268014164943	0.443851211554975	0.9028743304335548	not_tiered	down_in_case	same_direction	weak_same_direction
C4B	-4.150000000000002	down_in_chronic	PXD054961_serum_T2DM_vs_NG	primary_serum_diabetes	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	T2DM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	C4B	P0C0L5	P0C0L5	Complement C4-B	-0.0356695091084482	0.922366837187124	0.9829916965409216	0.0356695091084482	not_tiered	down_in_case	same_direction	weak_same_direction
CD44	1.5799999999999983	up_in_chronic	PXD054961_serum_T2DM_vs_NG	primary_serum_diabetes	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	T2DM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	CD44	P16070	P16070	CD44 antigen	-0.2761707823453267	0.8917435367394365	0.9772383604119672	0.2761707823453267	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
CFHR2	1.4699999999999989	up_in_chronic	PXD054961_serum_T2DM_vs_NG	primary_serum_diabetes	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	T2DM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	CFHR2	P36980	P36980	Complement factor H-related protein 2	-0.4940337782819348	0.1435466160530197	0.6335571862585877	0.4940337782819348	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
ITIH3	-1.2100000000000009	down_in_chronic	PXD054961_serum_T2DM_vs_NG	primary_serum_diabetes	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	T2DM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	ITIH3	Q06033	Q06033	Inter-alpha-trypsin inhibitor heavy chain H3	0.2637797918925031	0.3608481459554601	0.8025981894027138	0.2637797918925031	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
LRG1	-1.7199999999999989	down_in_chronic	PXD054961_serum_T2DM_vs_NG	primary_serum_diabetes	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	T2DM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	LRG1	P02750	P02750	Leucine-rich alpha-2-glycoprotein	0.2725961467439894	0.567450679102775	0.8844306095741507	0.2725961467439894	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
MYH7B	-5.32	down_in_chronic	PXD054961_serum_T2DM_vs_NG	primary_serum_diabetes	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	T2DM	NG	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	PXD054961_serum_T2DM_vs_PTDM	primary_serum_diabetes	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	T2DM	PTDM	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	PXD054961_serum_T2DM_vs_PTDM	primary_serum_diabetes	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	T2DM	PTDM	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	VWF	P04275	P04275	von Willebrand factor	0.5245758698907323	0.3723117950590999	0.8295676662076708	0.5245758698907323	not_tiered	up_in_case	same_direction	weak_same_direction
DNAH9	5.84	up_in_chronic	PXD054961_serum_T2DM_vs_PTDM	primary_serum_diabetes	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	T2DM	PTDM	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	PXD054961_serum_T2DM_vs_PTDM	primary_serum_diabetes	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	T2DM	PTDM	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	GPX3	P22352	P22352	Glutathione peroxidase 3	-0.5634711688690288	0.2588905151406534	0.7856826501223382	0.5634711688690288	not_tiered	down_in_case	same_direction	weak_same_direction
C4B	-4.150000000000002	down_in_chronic	PXD054961_serum_T2DM_vs_PTDM	primary_serum_diabetes	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	T2DM	PTDM	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	C4B	P0C0L5	P0C0L5	Complement C4-B	0.6107796238976562	0.223504221849734	0.7837811951545334	0.6107796238976562	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
CD44	1.5799999999999983	up_in_chronic	PXD054961_serum_T2DM_vs_PTDM	primary_serum_diabetes	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	T2DM	PTDM	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	CD44	P16070	P16070	CD44 antigen	-2.285000361007586	0.2377936005086673	0.7856826501223382	2.285000361007586	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
CFHR2	1.4699999999999989	up_in_chronic	PXD054961_serum_T2DM_vs_PTDM	primary_serum_diabetes	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	T2DM	PTDM	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	CFHR2	P36980	P36980	Complement factor H-related protein 2	-0.2814394812581007	0.36861736177749	0.8295676662076708	0.2814394812581007	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
ITIH3	-1.2100000000000009	down_in_chronic	PXD054961_serum_T2DM_vs_PTDM	primary_serum_diabetes	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	T2DM	PTDM	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	ITIH3	Q06033	Q06033	Inter-alpha-trypsin inhibitor heavy chain H3	0.5120523345865973	0.1191247962902151	0.7808891016452629	0.5120523345865973	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
LRG1	-1.7199999999999989	down_in_chronic	PXD054961_serum_T2DM_vs_PTDM	primary_serum_diabetes	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	T2DM	PTDM	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	True	LRG1	P02750	P02750	Leucine-rich alpha-2-glycoprotein	-0.3386051637610183	0.4958590374285222	0.8626588733345524	0.3386051637610183	not_tiered	down_in_case	same_direction	weak_same_direction
MYH7B	-5.32	down_in_chronic	PXD054961_serum_T2DM_vs_PTDM	primary_serum_diabetes	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	T2DM	PTDM	8	8	Metabolic/endocrine	diabetes mellitus	Serum diabetes contrasts in transplant recipients	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	PXD016571_urine_Bad_vs_Good	conditional_urine_dkd_prognosis	T2D renal dysfunction/prognosis Bad vs Good	PXD016571	Bad	Good	19	45	Kidney/urinary	diabetic kidney disease / renal prognosis	Urine T2D renal dysfunction/prognosis contrast	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	PXD016571_urine_Bad_vs_Good	conditional_urine_dkd_prognosis	T2D renal dysfunction/prognosis Bad vs Good	PXD016571	Bad	Good	19	45	Kidney/urinary	diabetic kidney disease / renal prognosis	Urine T2D renal dysfunction/prognosis contrast	human	True	VWF	P04275	P04275	von Willebrand factor OS=Homo sapiens GN=VWF PE=1 SV=4	-0.4911165454583823	0.4759705978397676	0.8665304848110614	0.4911165454583823	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
DNAH9	5.84	up_in_chronic	PXD016571_urine_Bad_vs_Good	conditional_urine_dkd_prognosis	T2D renal dysfunction/prognosis Bad vs Good	PXD016571	Bad	Good	19	45	Kidney/urinary	diabetic kidney disease / renal prognosis	Urine T2D renal dysfunction/prognosis contrast	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
GPX3	-2.8299999999999983	down_in_chronic	PXD016571_urine_Bad_vs_Good	conditional_urine_dkd_prognosis	T2D renal dysfunction/prognosis Bad vs Good	PXD016571	Bad	Good	19	45	Kidney/urinary	diabetic kidney disease / renal prognosis	Urine T2D renal dysfunction/prognosis contrast	human	True	GPX3	P22352	P22352	Glutathione peroxidase 3 OS=Homo sapiens GN=GPX3 PE=1 SV=2	0.1115225428867745	0.8952266613421936	0.974623373356268	0.1115225428867745	not_tiered	up_in_case	opposite_direction	weak_opposite_direction
C4B	-4.150000000000002	down_in_chronic	PXD016571_urine_Bad_vs_Good	conditional_urine_dkd_prognosis	T2D renal dysfunction/prognosis Bad vs Good	PXD016571	Bad	Good	19	45	Kidney/urinary	diabetic kidney disease / renal prognosis	Urine T2D renal dysfunction/prognosis contrast	human	True	C4B	P0C0L5	P0C0L5	Complement C4-B OS=Homo sapiens GN=C4B PE=1 SV=2	-0.0345075104228875	0.9514742946566894	0.9881217672095888	0.0345075104228875	not_tiered	down_in_case	same_direction	weak_same_direction
CD44	1.5799999999999983	up_in_chronic	PXD016571_urine_Bad_vs_Good	conditional_urine_dkd_prognosis	T2D renal dysfunction/prognosis Bad vs Good	PXD016571	Bad	Good	19	45	Kidney/urinary	diabetic kidney disease / renal prognosis	Urine T2D renal dysfunction/prognosis contrast	human	True	CD44	P16070	P16070	CD44 antigen OS=Homo sapiens GN=CD44 PE=1 SV=3	0.5414524300719386	0.1835654587737326	0.6836324342261139	0.5414524300719386	not_tiered	up_in_case	same_direction	weak_same_direction
CFHR2	1.4699999999999989	up_in_chronic	PXD016571_urine_Bad_vs_Good	conditional_urine_dkd_prognosis	T2D renal dysfunction/prognosis Bad vs Good	PXD016571	Bad	Good	19	45	Kidney/urinary	diabetic kidney disease / renal prognosis	Urine T2D renal dysfunction/prognosis contrast	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ITIH3	-1.2100000000000009	down_in_chronic	PXD016571_urine_Bad_vs_Good	conditional_urine_dkd_prognosis	T2D renal dysfunction/prognosis Bad vs Good	PXD016571	Bad	Good	19	45	Kidney/urinary	diabetic kidney disease / renal prognosis	Urine T2D renal dysfunction/prognosis contrast	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
LRG1	-1.7199999999999989	down_in_chronic	PXD016571_urine_Bad_vs_Good	conditional_urine_dkd_prognosis	T2D renal dysfunction/prognosis Bad vs Good	PXD016571	Bad	Good	19	45	Kidney/urinary	diabetic kidney disease / renal prognosis	Urine T2D renal dysfunction/prognosis contrast	human	True	LRG1	P02750	P02750	Leucine-rich alpha-2-glycoprotein OS=Homo sapiens GN=LRG1 PE=1 SV=2	-0.0478641079871025	0.9535906301834474	0.9881217672095888	0.0478641079871025	not_tiered	down_in_case	same_direction	weak_same_direction
MYH7B	-5.32	down_in_chronic	PXD016571_urine_Bad_vs_Good	conditional_urine_dkd_prognosis	T2D renal dysfunction/prognosis Bad vs Good	PXD016571	Bad	Good	19	45	Kidney/urinary	diabetic kidney disease / renal prognosis	Urine T2D renal dysfunction/prognosis contrast	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
ACTG1	-5.98	down_in_chronic	primary__curated_gate2_case_control__kidney_dysfunction__PXD046550__case_vs_control	kidney_dysfunction	Kidney dysfunction	PXD046550	case	control	56	18	Kidney/urinary	renal dysfunction	Kidney dysfunction case-control proteomics	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
VWF	4.280000000000001	up_in_chronic	primary__curated_gate2_case_control__kidney_dysfunction__PXD046550__case_vs_control	kidney_dysfunction	Kidney dysfunction	PXD046550	case	control	56	18	Kidney/urinary	renal dysfunction	Kidney dysfunction case-control proteomics	human	True	VWF	VWF	VWF		1.4596096510637	1.58738520290199e-06	1.0229815752035e-05	1.4596096510637	strict	up_in_case	same_direction	concordant_dep
DNAH9	5.84	up_in_chronic	primary__curated_gate2_case_control__kidney_dysfunction__PXD046550__case_vs_control	kidney_dysfunction	Kidney dysfunction	PXD046550	case	control	56	18	Kidney/urinary	renal dysfunction	Kidney dysfunction case-control proteomics	human	True	DNAH9	DNAH9	DNAH9		-0.132668249056721	0.554935630204037	0.636451598482596	0.132668249056721	not_tiered	down_in_case	opposite_direction	weak_opposite_direction
GPX3	-2.8299999999999983	down_in_chronic	primary__curated_gate2_case_control__kidney_dysfunction__PXD046550__case_vs_control	kidney_dysfunction	Kidney dysfunction	PXD046550	case	control	56	18	Kidney/urinary	renal dysfunction	Kidney dysfunction case-control proteomics	human	True	GPX3	GPX3	GPX3		-0.515065710566219	0.0031377458364476	0.0082722390233619	0.515065710566219	suggestive	down_in_case	same_direction	concordant_dep
C4B	-4.150000000000002	down_in_chronic	primary__curated_gate2_case_control__kidney_dysfunction__PXD046550__case_vs_control	kidney_dysfunction	Kidney dysfunction	PXD046550	case	control	56	18	Kidney/urinary	renal dysfunction	Kidney dysfunction case-control proteomics	human	True	C4B	C4B	C4B		-0.566416355001348	4.95494820495013e-07	3.72538698372177e-06	0.566416355001348	suggestive	down_in_case	same_direction	concordant_dep
CD44	1.5799999999999983	up_in_chronic	primary__curated_gate2_case_control__kidney_dysfunction__PXD046550__case_vs_control	kidney_dysfunction	Kidney dysfunction	PXD046550	case	control	56	18	Kidney/urinary	renal dysfunction	Kidney dysfunction case-control proteomics	human	True	CD44	CD44	CD44		0.276965839482283	0.0049476829061674	0.0117471301748772	0.276965839482283	not_tiered	up_in_case	same_direction	weak_same_direction
CFHR2	1.4699999999999989	up_in_chronic	primary__curated_gate2_case_control__kidney_dysfunction__PXD046550__case_vs_control	kidney_dysfunction	Kidney dysfunction	PXD046550	case	control	56	18	Kidney/urinary	renal dysfunction	Kidney dysfunction case-control proteomics	human	True	CFHR2	CFHR2	CFHR2		0.596228678087279	2.34726811190628e-07	1.9059817068679e-06	0.596228678087279	suggestive	up_in_case	same_direction	concordant_dep
ITIH3	-1.2100000000000009	down_in_chronic	primary__curated_gate2_case_control__kidney_dysfunction__PXD046550__case_vs_control	kidney_dysfunction	Kidney dysfunction	PXD046550	case	control	56	18	Kidney/urinary	renal dysfunction	Kidney dysfunction case-control proteomics	human	True	ITIH3	ITIH3	ITIH3		0.645171968176452	2.03459013135556e-05	0.0001007370235768	0.645171968176452	suggestive	up_in_case	opposite_direction	discordant_dep
LRG1	-1.7199999999999989	down_in_chronic	primary__curated_gate2_case_control__kidney_dysfunction__PXD046550__case_vs_control	kidney_dysfunction	Kidney dysfunction	PXD046550	case	control	56	18	Kidney/urinary	renal dysfunction	Kidney dysfunction case-control proteomics	human	True	LRG1	LRG1	LRG1		0.683278514481628	0.0010107204265917	0.0031959812899611	0.683278514481628	suggestive	up_in_case	opposite_direction	discordant_dep
MYH7B	-5.32	down_in_chronic	primary__curated_gate2_case_control__kidney_dysfunction__PXD046550__case_vs_control	kidney_dysfunction	Kidney dysfunction	PXD046550	case	control	56	18	Kidney/urinary	renal dysfunction	Kidney dysfunction case-control proteomics	human	False									not_detected	not_detected	not_detected	not_detected_or_unmapped
