cohort_number	disease_domain	disease_ontology_parent	disease_ontology_detail	disease_or_context	study_accession	case_label	control_or_comparator_label	n_case	n_control_or_comparator	human_disease_scope	analysis_context	source_collection	de_method	cohort_caveat_flags	display_contrast	compact_label	contrast_id	marker	op_reference_log2FC_chronic_vs_control	op_reference_direction	marker_detected_in_external_cohort	external_display_gene	external_feature_id	external_uniprot_id	external_protein_name	external_log2FC_case_vs_control_or_comparator	external_p_value	external_FDR	external_abs_log2FC	external_de_tier	external_direction	direction_agreement_with_op_reference	concordance_status	n_total	result_label_for_summary	summary_sentence_fragment
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	ACTG1	-5.98	down_in_chronic	True	ACTG1	P63261	P63261|ACTG_HUMAN	Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1	0.830354457421446	0.278469412556293	0.874776686512247	0.830354457421446	not_tiered	up_in_case	opposite_direction	weak_opposite_direction	15	Detected, opposite direction, weak/non-tiered	ACTG1 had external log2FC=0.830354457421446 with FDR=0.874776686512247 in Alzheimer disease (PXD021718); status=weak_opposite_direction.
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	DNAH9	5.84	up_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	15	Not detected or not mapped	DNAH9 was not detected or not mapped in Alzheimer disease (PXD021718).
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	GPX3	-2.8299999999999983	down_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	15	Not detected or not mapped	GPX3 was not detected or not mapped in Alzheimer disease (PXD021718).
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	VWF	4.280000000000001	up_in_chronic	True	VWF	P04275	P04275|VWF_HUMAN	von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4	0.868938123662613	0.402753385267766	0.888552226286068	0.868938123662613	not_tiered	up_in_case	same_direction	weak_same_direction	15	Detected, same direction, weak/non-tiered	VWF had external log2FC=0.868938123662613 with FDR=0.888552226286068 in Alzheimer disease (PXD021718); status=weak_same_direction.
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	C4B	-4.150000000000002	down_in_chronic	True	C4B	P0C0L5	P0C0L5|CO4B_HUMAN	Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2	0.110749727930507	0.762358689902172	0.931622594880435	0.110749727930507	not_tiered	up_in_case	opposite_direction	weak_opposite_direction	15	Detected, opposite direction, weak/non-tiered	C4B had external log2FC=0.110749727930507 with FDR=0.931622594880435 in Alzheimer disease (PXD021718); status=weak_opposite_direction.
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	CD44	1.5799999999999983	up_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	15	Not detected or not mapped	CD44 was not detected or not mapped in Alzheimer disease (PXD021718).
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	CFHR2	1.4699999999999989	up_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	15	Not detected or not mapped	CFHR2 was not detected or not mapped in Alzheimer disease (PXD021718).
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	ITIH3	-1.2100000000000009	down_in_chronic	True	ITIH3	Q06033	Q06033|ITIH3_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens OX=9606 GN=ITIH3 PE=1 SV=2	0.303272306201993	0.729833429956804	0.930055292709534	0.303272306201993	not_tiered	up_in_case	opposite_direction	weak_opposite_direction	15	Detected, opposite direction, weak/non-tiered	ITIH3 had external log2FC=0.303272306201993 with FDR=0.930055292709534 in Alzheimer disease (PXD021718); status=weak_opposite_direction.
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	LRG1	-1.7199999999999989	down_in_chronic	True	LRG1	P02750	P02750|A2GL_HUMAN	Leucine-rich alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=LRG1 PE=1 SV=2	-0.553242347120822	0.493373924057969	0.893406835456323	0.553242347120822	not_tiered	down_in_case	same_direction	weak_same_direction	15	Detected, same direction, weak/non-tiered	LRG1 had external log2FC=-0.553242347120822 with FDR=0.893406835456323 in Alzheimer disease (PXD021718); status=weak_same_direction.
C01	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD021718	case	control	10	5	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD021718 | case vs control	PXD021718\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	MYH7B	-5.32	down_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	15	Not detected or not mapped	MYH7B was not detected or not mapped in Alzheimer disease (PXD021718).
C02	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD016278	case	control	88	109	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD016278 | case vs control	PXD016278\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	ACTG1	-5.98	down_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	197	Not detected or not mapped	ACTG1 was not detected or not mapped in Alzheimer disease (PXD016278).
C02	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD016278	case	control	88	109	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD016278 | case vs control	PXD016278\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	DNAH9	5.84	up_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	197	Not detected or not mapped	DNAH9 was not detected or not mapped in Alzheimer disease (PXD016278).
C02	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD016278	case	control	88	109	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD016278 | case vs control	PXD016278\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	GPX3	-2.8299999999999983	down_in_chronic	True	GPX3	A0A087X1J7	A0A087X1J7;P22352		-0.0015850859132058	0.988083935722876	0.991976584189282	0.0015850859132058	not_tiered	down_in_case	same_direction	weak_same_direction	197	Detected, same direction, weak/non-tiered	GPX3 had external log2FC=-0.0015850859132058 with FDR=0.991976584189282 in Alzheimer disease (PXD016278); status=weak_same_direction.
C02	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD016278	case	control	88	109	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD016278 | case vs control	PXD016278\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	VWF	4.280000000000001	up_in_chronic	True	VWF	P04275	P04275		0.13206616317532	0.0464634699543875	0.130459384018479	0.13206616317532	not_tiered	up_in_case	same_direction	weak_same_direction	197	Detected, same direction, weak/non-tiered	VWF had external log2FC=0.13206616317532 with FDR=0.130459384018479 in Alzheimer disease (PXD016278); status=weak_same_direction.
C02	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD016278	case	control	88	109	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD016278 | case vs control	PXD016278\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	C4B	-4.150000000000002	down_in_chronic	True	C4B	P0C0L5	P0C0L5		0.095184538188775	0.141428030411078	0.279384313305606	0.095184538188775	not_tiered	up_in_case	opposite_direction	weak_opposite_direction	197	Detected, opposite direction, weak/non-tiered	C4B had external log2FC=0.095184538188775 with FDR=0.279384313305606 in Alzheimer disease (PXD016278); status=weak_opposite_direction.
C02	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD016278	case	control	88	109	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD016278 | case vs control	PXD016278\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	CD44	1.5799999999999983	up_in_chronic	True	CD44	H0Y5E4	H0Y5E4;H0YCV9;H0YD13;H0YDW7;P16070;P16070-10;P16070-11;P16070-12;P16070-13;P16070-14;P16070-15;P16070-16;P16070-17;P16070-18;P16070-3;P16070-4;P16070-5;P16070-6;P16070-7;P16070-8;P16070-9		0.162383506370325	0.0480573701300216	0.133685738590107	0.162383506370325	not_tiered	up_in_case	same_direction	weak_same_direction	197	Detected, same direction, weak/non-tiered	CD44 had external log2FC=0.162383506370325 with FDR=0.133685738590107 in Alzheimer disease (PXD016278); status=weak_same_direction.
C02	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD016278	case	control	88	109	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD016278 | case vs control	PXD016278\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	CFHR2	1.4699999999999989	up_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	197	Not detected or not mapped	CFHR2 was not detected or not mapped in Alzheimer disease (PXD016278).
C02	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD016278	case	control	88	109	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD016278 | case vs control	PXD016278\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	ITIH3	-1.2100000000000009	down_in_chronic	True	ITIH3	Q06033	Q06033;Q06033-2		0.230648807422249	0.022704464753835	0.0751409666853112	0.230648807422249	not_tiered	up_in_case	opposite_direction	weak_opposite_direction	197	Detected, opposite direction, weak/non-tiered	ITIH3 had external log2FC=0.230648807422249 with FDR=0.0751409666853112 in Alzheimer disease (PXD016278); status=weak_opposite_direction.
C02	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD016278	case	control	88	109	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD016278 | case vs control	PXD016278\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	LRG1	-1.7199999999999989	down_in_chronic	True	LRG1	P02750	P02750		-0.238164758536016	0.0134263807256936	0.0529096291999627	0.238164758536016	not_tiered	down_in_case	same_direction	weak_same_direction	197	Detected, same direction, weak/non-tiered	LRG1 had external log2FC=-0.238164758536016 with FDR=0.0529096291999627 in Alzheimer disease (PXD016278); status=weak_same_direction.
C02	Nervous system	neurodegenerative disease	Alzheimer disease; dementia-related neurodegeneration	Alzheimer disease	PXD016278	case	control	88	109	human	alzheimer_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD016278 | case vs control	PXD016278\ncase>control	primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	MYH7B	-5.32	down_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	197	Not detected or not mapped	MYH7B was not detected or not mapped in Alzheimer disease (PXD016278).
C03	Nervous system	neurodegenerative disease	Parkinson disease; movement-disorder neurodegeneration	Parkinson disease	PXD055996	case	control	40	40	human	parkinson_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD055996 | case vs control	PXD055996\ncase>control	primary__curated_gate2_case_control__parkinson_disease__PXD055996__case_vs_control	ACTG1	-5.98	down_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	80	Not detected or not mapped	ACTG1 was not detected or not mapped in Parkinson disease (PXD055996).
C03	Nervous system	neurodegenerative disease	Parkinson disease; movement-disorder neurodegeneration	Parkinson disease	PXD055996	case	control	40	40	human	parkinson_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD055996 | case vs control	PXD055996\ncase>control	primary__curated_gate2_case_control__parkinson_disease__PXD055996__case_vs_control	DNAH9	5.84	up_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	80	Not detected or not mapped	DNAH9 was not detected or not mapped in Parkinson disease (PXD055996).
C03	Nervous system	neurodegenerative disease	Parkinson disease; movement-disorder neurodegeneration	Parkinson disease	PXD055996	case	control	40	40	human	parkinson_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD055996 | case vs control	PXD055996\ncase>control	primary__curated_gate2_case_control__parkinson_disease__PXD055996__case_vs_control	GPX3	-2.8299999999999983	down_in_chronic	True	GPX3	P22352	P22352	GPX3	0.0960076741957156	0.329808562906274	0.646234290112963	0.0960076741957156	not_tiered	up_in_case	opposite_direction	weak_opposite_direction	80	Detected, opposite direction, weak/non-tiered	GPX3 had external log2FC=0.0960076741957156 with FDR=0.646234290112963 in Parkinson disease (PXD055996); status=weak_opposite_direction.
C03	Nervous system	neurodegenerative disease	Parkinson disease; movement-disorder neurodegeneration	Parkinson disease	PXD055996	case	control	40	40	human	parkinson_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD055996 | case vs control	PXD055996\ncase>control	primary__curated_gate2_case_control__parkinson_disease__PXD055996__case_vs_control	VWF	4.280000000000001	up_in_chronic	True	VWF	P04275	P04275	VWF	-0.0233229230250761	0.869476155343244	0.948246107105516	0.0233229230250761	not_tiered	down_in_case	opposite_direction	weak_opposite_direction	80	Detected, opposite direction, weak/non-tiered	VWF had external log2FC=-0.0233229230250761 with FDR=0.948246107105516 in Parkinson disease (PXD055996); status=weak_opposite_direction.
C03	Nervous system	neurodegenerative disease	Parkinson disease; movement-disorder neurodegeneration	Parkinson disease	PXD055996	case	control	40	40	human	parkinson_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD055996 | case vs control	PXD055996\ncase>control	primary__curated_gate2_case_control__parkinson_disease__PXD055996__case_vs_control	C4B	-4.150000000000002	down_in_chronic	True	C4B	P0C0L5	P0C0L5	C4B	0.064301835046091	0.803903706122364	0.91207227804488	0.064301835046091	not_tiered	up_in_case	opposite_direction	weak_opposite_direction	80	Detected, opposite direction, weak/non-tiered	C4B had external log2FC=0.064301835046091 with FDR=0.91207227804488 in Parkinson disease (PXD055996); status=weak_opposite_direction.
C03	Nervous system	neurodegenerative disease	Parkinson disease; movement-disorder neurodegeneration	Parkinson disease	PXD055996	case	control	40	40	human	parkinson_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD055996 | case vs control	PXD055996\ncase>control	primary__curated_gate2_case_control__parkinson_disease__PXD055996__case_vs_control	CD44	1.5799999999999983	up_in_chronic	True	CD44	P16070	P16070	CD44	0.0436527863422221	0.66500729872361	0.847412613049903	0.0436527863422221	not_tiered	up_in_case	same_direction	weak_same_direction	80	Detected, same direction, weak/non-tiered	CD44 had external log2FC=0.0436527863422221 with FDR=0.847412613049903 in Parkinson disease (PXD055996); status=weak_same_direction.
C03	Nervous system	neurodegenerative disease	Parkinson disease; movement-disorder neurodegeneration	Parkinson disease	PXD055996	case	control	40	40	human	parkinson_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD055996 | case vs control	PXD055996\ncase>control	primary__curated_gate2_case_control__parkinson_disease__PXD055996__case_vs_control	CFHR2	1.4699999999999989	up_in_chronic	True	CFHR2	P36980	P36980	CFHR2	0.38677347063317	0.23080802708873	0.563561969133944	0.38677347063317	not_tiered	up_in_case	same_direction	weak_same_direction	80	Detected, same direction, weak/non-tiered	CFHR2 had external log2FC=0.38677347063317 with FDR=0.563561969133944 in Parkinson disease (PXD055996); status=weak_same_direction.
C03	Nervous system	neurodegenerative disease	Parkinson disease; movement-disorder neurodegeneration	Parkinson disease	PXD055996	case	control	40	40	human	parkinson_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD055996 | case vs control	PXD055996\ncase>control	primary__curated_gate2_case_control__parkinson_disease__PXD055996__case_vs_control	ITIH3	-1.2100000000000009	down_in_chronic	True	ITIH3	Q06033	Q06033	ITIH3	0.135761119516168	0.66366046624026	0.847412613049903	0.135761119516168	not_tiered	up_in_case	opposite_direction	weak_opposite_direction	80	Detected, opposite direction, weak/non-tiered	ITIH3 had external log2FC=0.135761119516168 with FDR=0.847412613049903 in Parkinson disease (PXD055996); status=weak_opposite_direction.
C03	Nervous system	neurodegenerative disease	Parkinson disease; movement-disorder neurodegeneration	Parkinson disease	PXD055996	case	control	40	40	human	parkinson_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD055996 | case vs control	PXD055996\ncase>control	primary__curated_gate2_case_control__parkinson_disease__PXD055996__case_vs_control	LRG1	-1.7199999999999989	down_in_chronic	True	LRG1	P02750	P02750	LRG1	-0.228091635588859	0.494234732081384	0.760378080514925	0.228091635588859	not_tiered	down_in_case	same_direction	weak_same_direction	80	Detected, same direction, weak/non-tiered	LRG1 had external log2FC=-0.228091635588859 with FDR=0.760378080514925 in Parkinson disease (PXD055996); status=weak_same_direction.
C03	Nervous system	neurodegenerative disease	Parkinson disease; movement-disorder neurodegeneration	Parkinson disease	PXD055996	case	control	40	40	human	parkinson_disease	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD055996 | case vs control	PXD055996\ncase>control	primary__curated_gate2_case_control__parkinson_disease__PXD055996__case_vs_control	MYH7B	-5.32	down_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	80	Not detected or not mapped	MYH7B was not detected or not mapped in Parkinson disease (PXD055996).
C04	Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	MS	PXD050479	case	control	30	19	human	multiple_sclerosis	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD050479 | case vs control	PXD050479\ncase>control	primary__curated_gate2_case_control__multiple_sclerosis__PXD050479__case_vs_control	ACTG1	-5.98	down_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	49	Not detected or not mapped	ACTG1 was not detected or not mapped in MS (PXD050479).
C04	Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	MS	PXD050479	case	control	30	19	human	multiple_sclerosis	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD050479 | case vs control	PXD050479\ncase>control	primary__curated_gate2_case_control__multiple_sclerosis__PXD050479__case_vs_control	DNAH9	5.84	up_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	49	Not detected or not mapped	DNAH9 was not detected or not mapped in MS (PXD050479).
C04	Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	MS	PXD050479	case	control	30	19	human	multiple_sclerosis	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD050479 | case vs control	PXD050479\ncase>control	primary__curated_gate2_case_control__multiple_sclerosis__PXD050479__case_vs_control	GPX3	-2.8299999999999983	down_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	49	Not detected or not mapped	GPX3 was not detected or not mapped in MS (PXD050479).
C04	Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	MS	PXD050479	case	control	30	19	human	multiple_sclerosis	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD050479 | case vs control	PXD050479\ncase>control	primary__curated_gate2_case_control__multiple_sclerosis__PXD050479__case_vs_control	VWF	4.280000000000001	up_in_chronic	True	VWF	P04275	P04275	von Willebrand factor;von Willebrand antigen 2	-0.316684979456092	0.0186222557942995	0.343334838848322	0.316684979456092	not_tiered	down_in_case	opposite_direction	weak_opposite_direction	49	Detected, opposite direction, weak/non-tiered	VWF had external log2FC=-0.316684979456092 with FDR=0.343334838848322 in MS (PXD050479); status=weak_opposite_direction.
C04	Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	MS	PXD050479	case	control	30	19	human	multiple_sclerosis	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD050479 | case vs control	PXD050479\ncase>control	primary__curated_gate2_case_control__multiple_sclerosis__PXD050479__case_vs_control	C4B	-4.150000000000002	down_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	49	Not detected or not mapped	C4B was not detected or not mapped in MS (PXD050479).
C04	Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	MS	PXD050479	case	control	30	19	human	multiple_sclerosis	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD050479 | case vs control	PXD050479\ncase>control	primary__curated_gate2_case_control__multiple_sclerosis__PXD050479__case_vs_control	CD44	1.5799999999999983	up_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	49	Not detected or not mapped	CD44 was not detected or not mapped in MS (PXD050479).
C04	Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	MS	PXD050479	case	control	30	19	human	multiple_sclerosis	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD050479 | case vs control	PXD050479\ncase>control	primary__curated_gate2_case_control__multiple_sclerosis__PXD050479__case_vs_control	CFHR2	1.4699999999999989	up_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	49	Not detected or not mapped	CFHR2 was not detected or not mapped in MS (PXD050479).
C04	Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	MS	PXD050479	case	control	30	19	human	multiple_sclerosis	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD050479 | case vs control	PXD050479\ncase>control	primary__curated_gate2_case_control__multiple_sclerosis__PXD050479__case_vs_control	ITIH3	-1.2100000000000009	down_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	49	Not detected or not mapped	ITIH3 was not detected or not mapped in MS (PXD050479).
C04	Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	MS	PXD050479	case	control	30	19	human	multiple_sclerosis	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD050479 | case vs control	PXD050479\ncase>control	primary__curated_gate2_case_control__multiple_sclerosis__PXD050479__case_vs_control	LRG1	-1.7199999999999989	down_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	49	Not detected or not mapped	LRG1 was not detected or not mapped in MS (PXD050479).
C04	Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	MS	PXD050479	case	control	30	19	human	multiple_sclerosis	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter		PXD050479 | case vs control	PXD050479\ncase>control	primary__curated_gate2_case_control__multiple_sclerosis__PXD050479__case_vs_control	MYH7B	-5.32	down_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	49	Not detected or not mapped	MYH7B was not detected or not mapped in MS (PXD050479).
C05	Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	Multiple sclerosis	PXD045058	case	control	267	321	human	multiple_sclerosis	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter	disease_control_not_healthy_control	PXD045058 | case vs control	PXD045058\ncase>control	primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	ACTG1	-5.98	down_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	588	Not detected or not mapped	ACTG1 was not detected or not mapped in Multiple sclerosis (PXD045058).
C05	Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	Multiple sclerosis	PXD045058	case	control	267	321	human	multiple_sclerosis	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter	disease_control_not_healthy_control	PXD045058 | case vs control	PXD045058\ncase>control	primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	DNAH9	5.84	up_in_chronic	False									not_detected	not_detected	not_detected	not_detected_or_unmapped	588	Not detected or not mapped	DNAH9 was not detected or not mapped in Multiple sclerosis (PXD045058).
C05	Nervous system	demyelinating autoimmune disease	Multiple sclerosis; neuroimmune demyelination	Multiple sclerosis	PXD045058	case	control	267	321	human	multiple_sclerosis	all_primary_t7_limma	limma_trend_robust_row_median_imputed_after_strict_filter	disease_control_not_healthy_control	PXD045058 | case vs control	PXD045058\ncase>control	primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	GPX3	-2.8299999999999983	down_in_chronic	True	GPX3	GPX3	GPX3		-0.0600567102786194	0.132225914138994	0.235952650667448	0.0600567102786194	not_tiered	down_in_case	same_direction	weak_same_direction	588	Detected, same direction, weak/non-tiered	GPX3 had external log2FC=-0.0600567102786194 with FDR=0.235952650667448 in Multiple sclerosis (PXD045058); status=weak_same_direction.
