accession,file_name,download_url,file_role,notes
PXD026491,,,quant_table,Fill with direct quant/SDRF links for PD cohort
PXD011216,,,quant_table,Fill with direct quant/SDRF links for PD cohort
PXD034840,,,quant_table,Fill with direct quant/SDRF links for MS cohort
PXD064570,,,quant_table,Fill with direct quant/SDRF links for MS cohort
